No,Time,Protocol,Local IP,Local Port,Remote IP,Remote Port,Status,PID,Risk
145,21:23:09,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61402,2603:1061:10::16,443,SYN_SENT,10604,NORMAL
146,21:23:09,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61405,2603:1061:10::16,443,SYN_SENT,10604,NORMAL
147,21:23:09,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61403,2603:1061:10::16,443,SYN_SENT,10604,NORMAL
148,21:23:09,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61400,2603:1061:10::16,443,ESTABLISHED,10604,NORMAL
149,21:23:09,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61401,2603:1061:10::16,443,ESTABLISHED,10604,NORMAL
150,21:23:13,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61406,64:ff9b::14b8:af17,443,ESTABLISHED,13928,NORMAL
151,21:23:16,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61407,2603:1061:14:154::1,443,ESTABLISHED,10604,NORMAL
152,21:23:16,TCP,2402:8100:281a:b8e6:cdf5:76b1:2ad1:580,61408,2603:1061:14:154::1,443,ESTABLISHED,10604,NORMAL
153,21:23:16,UDP,0.0.0.0,62141,-,-,NONE,8464,NORMAL
154,21:23:16,UDP,0.0.0.0,52876,-,-,NONE,8464,NORMAL
155,21:23:16,UDP,0.0.0.0,50018,-,-,NONE,8464,NORMAL
156,21:23:19,UDP,0.0.0.0,54537,-,-,NONE,8464,NORMAL
157,21:23:19,UDP,::,54537,-,-,NONE,8464,NORMAL
